Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
BMC Genomics	RNA-seq	Bos taurus	GO, KEGG	Yes	Not stated	Yes	DAVID	Yes	NA	Yes	Background	No
BMC Genomics	RNA-seq	Bos taurus	KEGG	Yes	Not stated	Yes	WebGestalt	Yes	NA	Yes	Background	No
BMC Med Genomics	RNA-seq	Homo sapiens	GO	No	Not stated	No	Basespace Correlation engine	No	NA	No	Background, FDR	Yes
BMC Med Genomics	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
BMC Plant Biol	RNA-seq	Gossypium hirsutum	GO, KEGG	No	No test	Not stated	Not stated	NA	NA	No	Background	Yes
Int J Nanomedicine	Gene expression array	Oryctolagus cuniculus	Ingenuity Knowledge Base	No	Not stated	Not stated	Ingenuity Pathway Analysis	No	NA	No	Background	No
Biochem Biophys Rep	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	Not stated	Ingenuity Pathway Analysis	No	NA	No	Background	No
Basic Res Cardiol	RNA-seq	Mus musculus	PANTHER, GO	No	Not stated	Not stated	PANTHER	No	NA	No	Background	No
J Cancer	miRNA-seq	Homo sapiens	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background	No
J Cancer	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	No	Background	No
Data Brief	RNA-seq	Rattus norvegicus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	No
Skelet Muscle	Metabolomics	Mus musculus	MetaboAnalyst	Yes	MSEA	No	MetaboAnalyst	Yes	NA	NA	No	No
PLoS Comput Biol	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	No	No	No	Background	No
Front Pharmacol	Metabolomics	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	No
Sci Rep	RNA-seq	Gossypium hirsutum	KEGG	No	No test	NA	Blast2GO	No	NA	No	Background	No
Stem Cell Res Ther	Gene expression array, DNA methylation array	Homo sapiens	KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
J Transl Med	Gene expression array	Homo sapiens	KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	Yes
PLoS One	Gene expression array	Homo sapiens	KEGG	Yes	Not stated	Yes	DAVID	Yes	No	Not stated	Background	Yes
Front Microbiol	Metabolomics	Pleurotus tuoliensis	KEGG	No	Fisher	No	KEGG mapper	No	NA	No	Background	No
Sci Rep	PPI	Triticum aestivum	KEGG	No	Hypergeometric	Yes	Custom R script	No	No	No	Background	No
Sci Rep	Gene expression array	Homo sapiens	GO	No	Not stated	Yes	ToppGene	No	No	No	Background	No
Sci Rep	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	No	NA	No	No
Balkan Med J	RNA-seq	Homo sapiens	GO	No	No test	Not stated	PANTHER	No	No	No	Inference without test, Background	No
Balkan Med J	RNA-seq	Homo sapiens	MSigDB	No	Not stated	Not stated	GSEA web app	No	No	No	Background	No
PLoS Pathog	miRNA-seq	Homo sapiens	Reactome, PANTHER, NDeX, KEGG, BioCarta	Yes	Not stated	Not stated	Not stated	NA	No	No	Background	No
Medicine (Baltimore)	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	Yes	No	No	Background	Yes
Front Genet	DNA methylation sequencing	Danio rerio	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
Int J Mol Sci	Proteomics	Oryza sativa	GO, KEGG	No	Not stated	Yes	Blast2GO	No	NA	No	Background	Yes
Int J Mol Sci	Proteomics	Homo sapiens	GO, KEGG	No	Not stated	No	Not stated	NA	NA	No	Background	No
Sci Rep	RNA-seq	Mus musculus	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	No	No	Yes
Sci Rep	RNA-seq	Mus musculus	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
Sci Rep	RNA-seq	Mus musculus	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
BMC Genomics	miRNA-seq	Saccharum officinarum 	COG, GO, KEGG	No	Not stated	Yes	Not stated	NA	NA	No	Background	No
PeerJ	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
Aging (Albany NY)	RNA-seq	Ailuropoda melanoleuca	GO, KEGG	No	Hypergeometric	Yes	KOBAS	No	No	Yes	No	Yes
Front Pharmacol	RNA-seq	Rattus norvegicus	GO, KEGG	No	Not stated	No	clusterProfiler	No	No	No	Background	Yes
Front Microbiol	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	No
Transl Psychiatry	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	clusterProfiler	No	Yes	No	Background	Yes
J Transl Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	No	No	Background	Yes
J Transl Med	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	Yes	No	NA	No	Yes
BMC Dev Biol	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
BMC Syst Biol	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
BMC Plant Biol	RNA-seq	Taxus sp.	KEGG, GO	No	Not stated	No	Custom Perl script	No	No	No	Background, FDR	No
Respir Res	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Stated, but incorrect	Background	No
Transl Psychiatry	Gene expression array, DNA methylation array	Homo sapiens	MSigDB	Yes	Hypergeometric	Yes	GSEA web app	Yes	NA	No	Background	Yes
Front Neurosci	Gene expression array	Homo sapiens	KEGG	No	Not stated	Yes	WebGestalt	No	NA	No	Background	Yes
Sci Rep	Database	Homo sapiens	KEGG	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	Yes
BMC Cancer	RNA-seq	Homo sapiens	MetaCore	Yes	Not stated	Yes	MetaCore	Yes	NA	No	Background	No
Onco Targets Ther	Gene expression array	Homo sapiens	GO	No	Not stated	No	Metascape	No	NA	No	Background	No
Onco Targets Ther	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Front Immunol	Gene expression array	Homo sapiens	GO	No	Fisher	No	GOrilla	No	NA	No	Background	No
Front Genet	Database	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	No	No	Yes
PLoS Comput Biol	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Nat Commun	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Cell Death Dis	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	No	Background	No
Biomed Eng Online	Gene expression array	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	Custom script	No	No	No	No	No
Biomed Res Int	DNA methylation sequencing	Homo sapiens	KEGG	No	Not stated	No	pathVar	No	No	No	Background	No
Transl Vis Sci Technol	Proteomics	Homo sapiens	Reactome	No	GSEA	No	Not stated	No	No	NA	FDR	Yes
Front Genet	RNA-seq	Homo sapiens	KEGG, GO	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	Yes
Int J Immunopathol Pharmacol	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Parasit Vectors	miRNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	KOBAS	No	NA	No	Background, FDR	Yes
Clin Proteomics	Proteomics	Homo sapiens	KEGG, GO, MSigDB, Reactome, InterPro, WikiPathways	No	Not stated	Yes	ClueGO/Cytoscape	No	NA	Yes	No	Yes
Front Pharmacol	Proteomics	Mus musculus	MetaCore	No	Not stated	No	MetaCore	No	NA	No	Background, FDR	Yes
Int J Endocrinol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	No	Background	Yes
Oxid Med Cell Longev	Gene expression array	Homo sapiens	KEGG, MSigDB	No	ANOVA	No	Partek	No	NA	NA	FDR	No
Oncoimmunology	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	No	GSEA	No	NA	NA	FDR	No
PLoS One	DNA methylation array	Aedes aegypti	Vectorbase	No	Hypergeometric	No	Custom R script	Yes	No	Yes	FDR	Yes
PLoS One	RNA-seq	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
Transl Psychiatry	Proteomics	Mus musculus	MetaCore	Yes	Not stated	Yes	MetaCore	Yes	NA	No	Background	Yes
Arthritis Res Ther	Proteomics	Mus musculus	KEGG	No	Not stated	Yes	Not stated	No	No	No	Background	Yes
Front Immunol	Proteomics	Mus musculus	KEGG, Reactome	No	Not stated	Yes	clusterProfiler	No	No	No	Background	Yes
Nat Commun	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Psychiatry Investig	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Evid Based Complement Alternat Med	Database	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	clusterProfiler	Yes	No	No	Background	Yes
Biomed Res Int	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Int J Behav Nutr Phys Act	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
BMC Genomics	miRNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	GOseq	No	No	No	Background, FDR	Yes
PLoS One	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Oncotarget	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Sci Rep	RNA-seq	Homo sapiens	GO	No	Not stated	No	PANTHER	Yes	NA	No	Background, FDR	Yes
Sci Rep	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	Yes	NA	No	Background, FDR	Yes
mBio	RNA-seq	Sus scrofa	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Cancers (Basel)	Gene expression array	Homo sapiens	MSigDB	Yes	ANOVA	Yes	Partek	Yes	NA	NA	No	No
Mar Drugs	Gene expression array	Mus musculus	MetaCore	No	Not stated	No	MetaCore	No	NA	No	Background, FDR	No
Nutrients	RNA-seq	Mus musculus	KEGG	No	Not stated	Yes	Enrichr	No	NA	No	Background	No
Genes (Basel)	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	KOBAS	Yes	NA	No	Background, FDR	No
ACS Omega	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
Toxins (Basel)	RNA-seq	Meleagris gallopavo silvestris	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Toxins (Basel)	RNA-seq	Meleagris gallopavo silvestris	GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	Yes
BMC Med Genomics	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Stem Cell Res Ther	RNA-seq	Rattus norvegicus	KEGG, GO	No	Not stated	No	Not stated	No	NA	No	Background, FDR	No
BMC Med Genomics	Metabolomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	No
Onco Targets Ther	Gene expression array	Homo sapiens	KEGG, GO	No	No test	NA	DAVID	Yes	NA	No	No	Yes
Sci Rep	RNA-seq	Homo sapiens	KEGG, GO, InterPro, BioCarta	No	Not stated	Yes	DAVID	No	NA	No	Background	No
Proc Natl Acad Sci U S A	RNA-seq	Lymantria dispar dispar	KEGG	No	Not stated	No	Not stated	No	NA	No	Background, FDR	Yes
Insects	Gene expression array	Aedes aegypti	KEGG, GO, InterPro	No	Hypergeometric	No	Custom R script	No	No	Yes	FDR	Yes
Int J Mol Sci	Proteomics	Nicotiana benthamiana	Not stated	No	Not stated	No	GOEAST	No	NA	No	Background, FDR	Yes
Int J Mol Sci	RNA-seq	Sus scrofa	KEGG	No	SPIA	Yes	SPIA	No	No	NA	No	Yes
Medicina (Kaunas)	Gene expression array	Homo sapiens	KEGG, GO	No	Fisher	Yes	DAVID	No	NA	No	Background	No
Int J Mol Sci	Metabolomics	Homo sapiens	Not stated	No	Fisher	Yes	Mummichog	Yes	No	Yes	No	Yes
Int J Mol Sci	RNA-seq	Ctenopharyngodon idella	KEGG	No	Not stated	Yes	Not stated	No	No	No	Background	No
Molecules	miRNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
Int J Mol Sci	RNA-seq	Vicia sativa	KEGG, GO	No	Not stated	Yes	KOBAS	No	NA	No	Background	No
Int J Mol Sci	Gene expression array	Homo sapiens	KEGG, GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
Chin Med	RNA-seq	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes
Chin Med	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	No	Background, FDR	Yes
Clin Proteomics	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	No	Background, FDR	No
PeerJ	RNA-seq	Mytilus sp.	KEGG, GO	No	Not stated	Yes	Not stated	No	No	No	Background, FDR	Yes
J Cancer	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
J Cancer	Gene expression array	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	Not stated	No	NA	Yes	No	Yes
Mol Cancer	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Biol Res	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	NA	BioCloud	No	NA	No	Background, FDR	No
PLoS One	RNA-seq	Brassica rapa	KEGG	No	Not stated	Yes	KOBAS	Yes	NA	No	Background	Yes
Sci Rep	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
Sci Rep	Gene expression array	Homo sapiens	KEGG, GO	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	No
Sci Rep	RNA-seq	Apostichopus japonicus	GO	No	No test	NA	GOATOOLS	Yes	No	No	Inference without test, Background	Yes
Mol Cell Biol	miRNA-seq	Mus musculus	KEGG, GO	No	Not stated	Yes	DAVID	Yes	NA	No	Background	No
Front Microbiol	Proteomics	Glycine max	KEGG, GO	No	Not stated	No	Not stated	No	No	Yes	FDR	No
PLoS One	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Cell Stress Chaperones	Gene expression array	Rattus norvegicus	KEGG, GO	No	Not stated	No	FunRich	No	NA	No	Background, FDR	Yes
Sci Rep	RNA-seq	Homo sapiens	KEGG, GO	Yes	Not stated	Not stated	DAVID	Yes	NA	No	Background	No
Biomed Res Int	RNA-seq	Sus scrofa	KEGG, GO	No	Fisher	Yes	DAVID	No	NA	No	Background	Yes
Exp Ther Med	Gene expression array	Homo sapiens	Not stated	No	Fisher	No	Custom script	No	No	No	Background, FDR	No
Exp Ther Med	Gene expression array	Mus musculus	KEGG, GO	Yes	Fisher	No	DAVID	Yes	NA	No	Background, FDR	No
Front Plant Sci	RNA-seq	Alternanthera philoxeroides	GO, AraCyc	No	Not stated	No	Pathway Studio	No	NA	No	Background, FDR	Yes
Clin Proteomics	Proteomics	Homo sapiens	KEGG	No	Not stated	Not stated	Not stated	No	NA	Yes	Background, Inference without test	Yes
Respir Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PLoS One	RNA-seq	Ocimum tenuiflorum	KEGG	No	Not stated	Yes	KOBAS	Yes	NA	No	Background	Yes
Transplantation	Proteomics	Homo sapiens	KEGG, STRING	No	Not stated	Yes	STRING	No	NA	No	Background	No
Sci Rep	DNA methylation sequencing	Bos taurus	Not stated	No	Not stated	No	GOseq	No	No	No	Background, FDR	No
Sci Rep	RNA-seq	Danio rerio	Custom	NA	GSEA	Yes	GSEA	No	NA	NA	No	No
Oncol Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
Oncol Rep	Gene expression array	Homo sapiens	Not stated	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Fisher	No	KOBAS	Yes	NA	No	Background, FDR	Yes
Oncol Lett	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
Oncol Lett	Database	Homo sapiens	GO, Reactome	No	Fisher	Yes	Not stated	No	No	No	Background	No
Oncol Lett	Proteomics	Homo sapiens	KEGG, GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
Arthritis Res Ther	RNA-seq	Homo sapiens	KEGG	No	ssGSEA	No	ssGSEA (GenePattern)	No	NA	NA	FDR	Yes
Hereditas	RNA-seq	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	KOBAS	No	NA	No	Background	Yes
BMC Genomics	RNA-seq	Gossypium hirsutum	MapMan	No	Not stated	No	SEA	No	NA	Yes	Background, FDR	Yes
Aging (Albany NY)	miRNA-seq	Homo sapiens	KEGG, GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	Yes
Aging (Albany NY)	Gene expression array	Homo sapiens	KEGG, GO	No	GSEA	Yes	GSEA	Yes	No	NA	No	No
Aging (Albany NY)	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	Not stated	No	No	No	Background	Yes
Aging (Albany NY)	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	No	Background	Yes
Biosci Rep	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	Yes
Front Neurol	RNA-seq	Homo sapiens	KEGG, GO	No	Fisher	No	AmiGO	No	NA	No	Background, FDR	No
Sci Rep	Metabolomics	Chlorella pyrenoidosa	Not stated	No	Not stated	Not stated	MetaboAnalyst	No	NA	No	No data shown	Yes
Sci Rep	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Front Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Reactome FI/Cytoscape	No	NA	No	Background, FDR	No
J Hematol Oncol	RNA-seq	Homo sapiens	Custom	NA	GSEA	No	GSEA	No	NA	NA	No	Yes
BMC Cancer	miRNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	No	Background	No
Med Sci Monit	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	GenCLiP	Yes	NA	No	Background	Yes
PLoS One	DNA methylation array	Homo sapiens	KEGG	No	Not stated	Yes	PANOGA	No	NA	No	Background	Yes
PeerJ	Gene expression array	Homo sapiens	Reactome, KEGG, GO	No	Not stated	No	Not stated	No	NA	No	Background, FDR	No
PeerJ	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
PeerJ	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	clusterProfiler	No	NA	No	Background	Yes
Front Genet	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	clusterProfiler	No	NA	No	Background, FDR	No
Biomed Res Int	Gene expression array	Mus musculus	KEGG, GO	No	Hypergeometric	No	Not stated	No	No	No	Background, FDR	Yes
Biomed Res Int	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	GeneCodis	No	No	No	Background	No
Biomed Res Int	Proteomics	Anas platyrhynchus domesticus	KEGG, GO	No	No test	NA	KEGG mapper	No	NA	No	Inference without test, Background	Yes
Clin Transl Gastroenterol	Gene expression array	Homo sapiens	GO	No	Not stated	No	DAVID	Yes	NA	No	Background, FDR	Yes
Clin Transl Gastroenterol	Gene expression array	Homo sapiens	KEGG, GO, Reactome, BioCyc	No	Not stated	No	KOBAS	Yes	NA	No	Background, FDR	Yes
Medicine (Baltimore)	Gene expression array	Homo sapiens	KEGG, GO, OMIM	No	Fisher	No	DAVID	Yes	NA	No	Background, FDR	Yes
PLoS One	RNA-seq	Mus musculus	GO	No	Not stated	Yes	GOrilla	No	NA	Yes	Background	Yes
PLoS One	RNA-seq	Mus musculus	GO	No	GSEA	Yes	GSEA	Yes	NA	Yes	No	Yes
PLoS One	miRNA-seq	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Front Cell Infect Microbiol	RNA-seq	Mus musculus	KEGG, GO	No	Hypergeometric, Fisher	Yes	KOBAS	No	NA	No	Background	Yes
Front Immunol	RNA-seq	Mus musculus	KEGG, GO	No	Not stated	Yes	Not stated	No	NA	No	Background	Yes
Cell Death Dis	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
Sci Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Fisher	Yes	Custom R script	Yes	No	Yes	No	No
Front Pharmacol	Proteomics	Rattus norvegicus	GO, Reactome	No	Not stated	No	Cytoscape (No plugin stated)	Yes	NA	No	Background, FDR	No
Clin Epigenetics	Gene expression array, DNA methylation array	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	No	Background	Yes
Cancer Manag Res	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	NA	No	Background, FDR	No
eLife	RNA-seq	Homo sapiens	KEGG, GO, MSigDB	No	Not stated	Yes	GAGE	Yes	No	NA	No	No
Neoplasia	miRNA-seq	Homo sapiens	KEGG, GO, Reactome	No	Hypergeometric	Yes	GOstats	Yes	No	No	Background	No
ACS Comb Sci	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Front Microbiol	Genome sequencing	Vibrio parahaemolyticus	KEGG	No	No test	NA	KAAS	No	NA	No	Inference without test, Background	No
Sci Rep	Gene expression array, DNA methylation array	Homo sapiens	Not stated	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
Sci Rep	miRNA-seq	Bubalus bubalis	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	Yes
PeerJ	RNA-seq	Homo sapiens	GO	No	Binomial	Yes	PANTHER	Yes	NA	No	Background	Yes
PeerJ	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	NA	No	Yes
BMC Bioinformatics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Cancer Cell Int	RNA-seq	Homo sapiens	KEGG	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
Respir Res	Proteomics	Rattus norvegicus	KEGG, GO	No	Not stated	Yes	GeneCodis	Yes	NA	No	Background	No
BMC Genomics	miRNA-seq	Rattus norvegicus	KEGG	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
BMC Genomics	RNA-seq	Oryctolagus cuniculus	KEGG, GO	No	Not stated	Yes	Not stated	No	NA	No	Background	Yes
BMC Genomics	RNA-seq	Setaria italica	KEGG, GO	No	Hypergeometric	Yes	Not stated	No	No	Yes	Background	Yes
Evid Based Complement Alternat Med	Database	Homo sapiens	KEGG, GO	No	Fisher	Yes	DAVID	No	NA	No	Background	Yes
Evid Based Complement Alternat Med	Database	Homo sapiens	KEGG	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
Front Microbiol	Genome sequencing	Cupriavidus necator	KEGG	No	No test	NA	Not stated	No	NA	No	Inference without test, Background	Yes
World J Gastrointest Oncol	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
