Category	Term	Count	%	PValue	List Total	Pop Hits	Pop Total	Fold Enrichment	Benjamini
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	83	38.9671361502347	4.79940793059166E-06	187	5222	18224	1.5489711361025	0.000183177402684
GOTERM_CC_DIRECT	GO:0005634~nucleus	82	38.4976525821596	4.04307884071831E-05	187	5415	18224	1.4757659699488	0.001322664363606
GOTERM_CC_DIRECT	GO:0005839~proteasome core complex	5	2.34741784037559	5.48894944545757E-05	187	21	18224	23.2034632034632	0.001571211778762
GOTERM_CC_DIRECT	GO:0005838~proteasome regulatory particle	4	1.87793427230047	0.000162517427326	187	11	18224	35.4380165289256	0.004135165650855
GOTERM_CC_DIRECT	GO:0008540~proteasome regulatory particle, base subcomplex	4	1.87793427230047	0.000215063761464	187	12	18224	32.4848484848485	0.004924960137527
GOTERM_CC_DIRECT	GO:0016234~inclusion body	4	1.87793427230047	0.00076249801892	187	18	18224	21.6565656565657	0.015873822393881
GOTERM_CC_DIRECT	GO:0005765~lysosomal membrane	10	4.69483568075117	0.00205903229876	187	274	18224	3.55673523556735	0.039293199701344
GOTERM_CC_DIRECT	GO:0000786~nucleosome	6	2.8169014084507	0.002767758141634	187	94	18224	6.22050290135397	0.042536155109113
GOTERM_CC_DIRECT	GO:0031595~nuclear proteasome complex	3	1.40845070422535	0.002786211033348	187	8	18224	36.5454545454545	0.042536155109113
GOTERM_CC_DIRECT	GO:0033180~proton-transporting V-type ATPase, V1 domain	3	1.40845070422535	0.002786211033348	187	8	18224	36.5454545454545	0.042536155109113
GOTERM_CC_DIRECT	GO:0033179~proton-transporting V-type ATPase, V0 domain	3	1.40845070422535	0.003558273345186	187	9	18224	32.4848484848485	0.050927787252979
GOTERM_CC_DIRECT	GO:0031597~cytosolic proteasome complex	3	1.40845070422535	0.004418069529347	187	10	18224	29.2363636363636	0.059513995424734
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	13	6.10328638497653	2.25987998754853E-09	182	110	16881	10.9616883116883	3.49338268662889E-07
GOTERM_MF_DIRECT	GO:0005515~protein binding	134	62.9107981220657	2.40095030008858E-09	182	8785	16881	1.41478294045169	3.49338268662889E-07
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	10	4.69483568075117	2.0623737143645E-07	182	81	16881	11.4509564509565	2.00050250293356E-05
GOTERM_MF_DIRECT	GO:0046961~proton-transporting ATPase activity, rotational mechanism	6	2.8169014084507	7.34702395311968E-06	182	26	16881	21.4044801352494	0.000534495992589
GOTERM_MF_DIRECT	GO:0015078~hydrogen ion transmembrane transporter activity	6	2.8169014084507	2.13496288855203E-05	182	32	16881	17.3911401098901	0.001148463394859
GOTERM_MF_DIRECT	GO:0055131~C3HC4-type RING finger domain binding	4	1.87793427230047	2.36796576259682E-05	182	6	16881	61.8351648351648	0.001148463394859
GOTERM_MF_DIRECT	GO:0004298~threonine-type endopeptidase activity	5	2.34741784037559	6.63433997784606E-05	182	21	16881	22.0839874411303	0.002757989905076
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	10	4.69483568075117	0.000161359229181	182	183	16881	5.0684561340299	0.005869441961477
GOTERM_MF_DIRECT	GO:0030544~Hsp70 protein binding	5	2.34741784037559	0.000410268526352	182	33	16881	14.0534465534466	0.013265349018729
GOTERM_MF_DIRECT	GO:0036402~proteasome-activating ATPase activity	3	1.40845070422535	0.001667101685479	182	6	16881	46.3763736263736	0.048512659047444
