"Pubmed.Central.ID"	"Article.number"	"Allocated"	"Journal"	"Omics.type"	"Organism"	"Gene.set.library"	"GS.version"	"Statistical.test.used"	"FDR.Correction"	"App.used"	"App.Version"	"Code.availability"	"Background.gene.set"	"Assumptions.violated"	"Gene.lists.provided"	"scores"
"32"	"PMC6332625"	30	"Mark"	"Stem Cell Res Ther"	"Gene expression array, DNA methylation array"	"Homo sapiens"	"KEGG"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"No"	"Yes"	-1
"33"	"PMC6332685"	31	"Mark"	"J Transl Med"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background"	"Yes"	-3
"34"	"PMC6333352"	32	"Mark"	"PLoS One"	"Gene expression array"	"Homo sapiens"	"KEGG"	"Yes"	"Not stated"	"Yes"	"DAVID"	"Yes"	"No"	"Not stated"	"Background"	"Yes"	-1
"35"	"PMC6333644"	33	"Mark"	"Front Microbiol"	"Metabolomics"	"Pleurotus tuoliensis"	"KEGG"	"No"	"Fisher"	"No"	"KEGG mapper"	"No"	NA	"No"	"Background"	"No"	-4
"37"	"PMC6333820"	35	"Mark"	"Sci Rep"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"ToppGene"	"No"	"No"	"No"	"Background"	"No"	-4
"38"	"PMC6333820"	35	"Mark"	"Sci Rep"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	"No"	NA	"No"	"No"	-2
"39"	"PMC6335938"	36	"Mark"	"Balkan Med J"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"No test"	"No test"	"PANTHER"	"No"	"No"	"No"	"Inference without test, Background"	"No"	-5
"40"	"PMC6335938"	36	"Mark"	"Balkan Med J"	"RNA-seq"	"Homo sapiens"	"MSigDB"	"No"	"Not stated"	"Not stated"	"GSEA web app"	"No"	"No"	"No"	"Background"	"No"	-5
"41"	"PMC6336353"	37	"Mark"	"PLoS Pathog"	"miRNA-seq"	"Homo sapiens"	"Reactome, PANTHER, NDeX, KEGG, BioCarta"	"Yes"	"Not stated"	"Not stated"	"Not stated"	NA	"No"	"No"	"Background"	"No"	-4
"42"	"PMC6336601"	38	"Mark"	"Medicine (Baltimore)"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"Yes"	"No"	"No"	"Background"	"Yes"	-2
"43"	"PMC6336703"	39	"Mark"	"Front Genet"	"DNA methylation sequencing"	"Danio rerio"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"Yes"	-4
"44"	"PMC6337198"	40	"Mark"	"Int J Mol Sci"	"Proteomics"	"Oryza sativa"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"Blast2GO"	"No"	NA	"No"	"Background"	"Yes"	-3
"45"	"PMC6337327"	41	"Mark"	"Int J Mol Sci"	"Proteomics"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"Not stated"	NA	NA	"No"	"Background"	"No"	-5
"46"	"PMC6338767"	42	"Mark"	"Sci Rep"	"RNA-seq"	"Mus musculus"	"MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"No"	NA	"No"	"No"	"Yes"	-1
"47"	"PMC6338767"	42	"Mark"	"Sci Rep"	"RNA-seq"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Yes"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"Yes"	-3
"48"	"PMC6338799"	43	"Mark"	"Sci Rep"	"RNA-seq"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"Yes"	-3
"49"	"PMC6339412"	44	"Mark"	"BMC Genomics"	"miRNA-seq"	"Saccharum officinarum "	"COG, GO, KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	NA	NA	"No"	"Background"	"No"	-4
"50"	"PMC6339479"	45	"Mark"	"PeerJ"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"No"	"Background"	"Yes"	-3
"51"	"PMC6339791"	46	"Mark"	"Aging (Albany NY)"	"RNA-seq"	"Ailuropoda melanoleuca"	"GO, KEGG"	"No"	"Hypergeometric"	"Yes"	"KOBAS"	"No"	"No"	"Yes"	"No"	"Yes"	-1
"52"	"PMC6339912"	47	"Mark"	"Front Pharmacol"	"RNA-seq"	"Rattus norvegicus"	"GO, KEGG"	"No"	"Not stated"	"No"	"clusterProfiler"	"No"	"No"	"No"	"Background"	"Yes"	-4
"53"	"PMC6340995"	48	"Mark"	"Front Microbiol"	"Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"No"	-5
"55"	"PMC6341564"	50	"Mark"	"J Transl Med"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	"No"	"No"	"Background"	"Yes"	-3
"56"	"PMC6341564"	50	"Mark"	"J Transl Med"	"Gene expression array"	"Homo sapiens"	"Not stated"	"No"	"GSEA"	"Yes"	"GSEA"	"Yes"	"No"	NA	"No"	"Yes"	-1
"58"	"PMC6341689"	52	"Mark"	"BMC Syst Biol"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"No"	"Background, FDR"	"No"	-5
"59"	"PMC6341696"	53	"Mark"	"BMC Plant Biol"	"RNA-seq"	"Taxus sp."	"KEGG, GO"	"No"	"Not stated"	"No"	"Custom Perl script"	"No"	"No"	"No"	"Background, FDR"	"No"	-5
"60"	"PMC6341764"	54	"Mark"	"Respir Res"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Stated, but incorrect"	"Background"	"No"	-4
"62"	"PMC6344412"	56	"Mark"	"Front Neurosci"	"Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"Yes"	"WebGestalt"	"No"	NA	"No"	"Background"	"Yes"	-3
"63"	"PMC6344516"	57	"Mark"	"Sci Rep"	"Database"	"Homo sapiens"	"KEGG"	"Yes"	"Not stated"	"Yes"	"DAVID"	"Yes"	NA	"No"	"Background"	"Yes"	-1
"64"	"PMC6345040"	58	"Mark"	"BMC Cancer"	"RNA-seq"	"Homo sapiens"	"MetaCore"	"Yes"	"Not stated"	"Yes"	"MetaCore"	"Yes"	NA	"No"	"Background"	"No"	-2
"67"	"PMC6346592"	60	"Mark"	"Front Immunol"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Fisher"	"No"	"GOrilla"	"No"	NA	"No"	"Background"	"No"	-4
"68"	"PMC6346701"	61	"Mark"	"Front Genet"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"No"	"No"	"Yes"	-4
"72"	"PMC6347746"	65	"Mark"	"Biomed Eng Online"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Hypergeometric"	"Yes"	"Custom script"	"No"	"No"	"No"	"No"	"No"	-3
"73"	"PMC6348866"	66	"Mark"	"Biomed Res Int"	"DNA methylation sequencing"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"No"	"pathVar"	"No"	"No"	"No"	"Background"	"No"	-5
"74"	"PMC6348995"	67	"Mark"	"Transl Vis Sci Technol"	"Proteomics"	"Homo sapiens"	"Reactome"	"No"	"GSEA"	"No"	"Not stated"	"No"	"No"	NA	"FDR"	"Yes"	-3
"76"	"PMC6350121"	69	"Mark"	"Int J Immunopathol Pharmacol"	"RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"77"	"PMC6350279"	70	"Mark"	"Parasit Vectors"	"miRNA-seq"	"Sus scrofa"	"KEGG, GO"	"No"	"Not stated"	"No"	"KOBAS"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"78"	"PMC6350310"	71	"Mark"	"Clin Proteomics"	"Proteomics"	"Homo sapiens"	"KEGG, GO, MSigDB, Reactome, InterPro, WikiPathways"	"No"	"Not stated"	"Yes"	"ClueGO/Cytoscape"	"No"	NA	"Yes"	"No"	"Yes"	-2
"79"	"PMC6350459"	72	"Mark"	"Front Pharmacol"	"Proteomics"	"Mus musculus"	"MetaCore"	"No"	"Not stated"	"No"	"MetaCore"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"81"	"PMC6350575"	74	"Mark"	"Oxid Med Cell Longev"	"Gene expression array"	"Homo sapiens"	"KEGG, MSigDB"	"No"	"ANOVA"	"No"	"Partek"	"No"	NA	NA	"FDR"	"No"	-3
"82"	"PMC6350693"	75	"Mark"	"Oncoimmunology"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"No"	"GSEA"	"No"	NA	NA	"FDR"	"No"	-2
"84"	"PMC6351057"	77	"Mark"	"PLoS One"	"RNA-seq"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"No"	"No"	-1
"85"	"PMC6351542"	78	"Mark"	"Transl Psychiatry"	"Proteomics"	"Mus musculus"	"MetaCore"	"Yes"	"Not stated"	"Yes"	"MetaCore"	"Yes"	NA	"No"	"Background"	"Yes"	-1
"86"	"PMC6352376"	79	"Mark"	"Arthritis Res Ther"	"Proteomics"	"Mus musculus"	"KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	"No"	"No"	"Background"	"Yes"	-4
"88"	"PMC6353904"	81	"Mark"	"Nat Commun"	"Gene expression array"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"90"	"PMC6354157"	83	"Mark"	"Evid Based Complement Alternat Med"	"Database"	"Homo sapiens"	"KEGG, GO"	"No"	"Hypergeometric"	"Yes"	"clusterProfiler"	"Yes"	"No"	"No"	"Background"	"Yes"	-1
"91"	"PMC6354167"	84	"Mark"	"Biomed Res Int"	"Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"93"	"PMC6354428"	86	"Mark"	"BMC Genomics"	"miRNA-seq"	"Sus scrofa"	"KEGG, GO"	"No"	"Not stated"	"No"	"GOseq"	"No"	"No"	"No"	"Background, FDR"	"Yes"	-4
"96"	"PMC6355811"	89	"Mark"	"Sci Rep"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"PANTHER"	"Yes"	NA	"No"	"Background, FDR"	"Yes"	-3
"97"	"PMC6355811"	89	"Mark"	"Sci Rep"	"RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"Yes"	NA	"No"	"Background, FDR"	"Yes"	-3
"98"	"PMC6355989"	90	"Mark"	"mBio"	"RNA-seq"	"Sus scrofa"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"99"	"PMC6356242"	91	"Mark"	"Cancers (Basel)"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"Yes"	"ANOVA"	"Yes"	"Partek"	"Yes"	NA	NA	"No"	"No"	0
"100"	"PMC6356397"	92	"Mark"	"Mar Drugs"	"Gene expression array"	"Mus musculus"	"MetaCore"	"No"	"Not stated"	"No"	"MetaCore"	"No"	NA	"No"	"Background, FDR"	"No"	-5
"101"	"PMC6356572"	93	"Mark"	"Nutrients"	"RNA-seq"	"Mus musculus"	"KEGG"	"No"	"Not stated"	"Yes"	"Enrichr"	"No"	NA	"No"	"Background"	"No"	-4
"103"	"PMC6356850"	95	"Mark"	"ACS Omega"	"Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Yes"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background"	"Yes"	-3
"104"	"PMC6357151"	96	"Mark"	"Toxins (Basel)"	"RNA-seq"	"Meleagris gallopavo silvestris"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"105"	"PMC6357151"	96	"Mark"	"Toxins (Basel)"	"RNA-seq"	"Meleagris gallopavo silvestris"	"GO"	"Yes"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"No"	"Background, FDR"	"Yes"	-2
"106"	"PMC6357343"	97	"Mark"	"BMC Med Genomics"	"Gene expression array"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"107"	"PMC6357492"	98	"Mark"	"Stem Cell Res Ther"	"RNA-seq"	"Rattus norvegicus"	"KEGG, GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"No"	"Background, FDR"	"No"	-6
"108"	"PMC6357669"	99	"Mark"	"BMC Med Genomics"	"Metabolomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"No"	"Background, FDR"	"No"	-5
"109"	"PMC6357888"	100	"Mark"	"Onco Targets Ther"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"No test"	"No test"	"DAVID"	"Yes"	NA	"No"	"No"	"Yes"	-3
"110"	"PMC6358614"	101	"Mark"	"Sci Rep"	"RNA-seq"	"Homo sapiens"	"KEGG, GO, InterPro, BioCarta"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"No"	"Background"	"No"	-4
"111"	"PMC6358702"	102	"Mark"	"Proc Natl Acad Sci U S A"	"RNA-seq"	"Lymantria dispar dispar"	"KEGG"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"No"	"Background, FDR"	"Yes"	-5
"112"	"PMC6358845"	103	"Mark"	"Insects"	"Gene expression array"	"Aedes aegypti"	"KEGG, GO, InterPro"	"No"	"Hypergeometric"	"No"	"Custom R script"	"No"	"No"	"Yes"	"FDR"	"Yes"	-2
"113"	"PMC6358847"	104	"Mark"	"Int J Mol Sci"	"Proteomics"	"Nicotiana benthamiana"	"Not stated"	"No"	"Not stated"	"No"	"GOEAST"	"No"	NA	"No"	"Background, FDR"	"Yes"	-5
"114"	"PMC6358966"	105	"Mark"	"Int J Mol Sci"	"RNA-seq"	"Sus scrofa"	"KEGG"	"No"	"SPIA"	"Yes"	"SPIA"	"No"	"No"	NA	"No"	"Yes"	-1
"115"	"PMC6359148"	106	"Mark"	"Medicina (Kaunas)"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Fisher"	"Yes"	"DAVID"	"No"	NA	"No"	"Background"	"No"	-3
"116"	"PMC6359186"	107	"Mark"	"Int J Mol Sci"	"Metabolomics"	"Homo sapiens"	"Not stated"	"No"	"Fisher"	"Yes"	"Mummichog"	"Yes"	"No"	"Yes"	"No"	"Yes"	-1
"117"	"PMC6359277"	108	"Mark"	"Int J Mol Sci"	"RNA-seq"	"Ctenopharyngodon idella"	"KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	"No"	"No"	"Background"	"No"	-5
"118"	"PMC6359307"	109	"Mark"	"Molecules"	"miRNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"No"	"Background, FDR"	"No"	-4
"119"	"PMC6359484"	110	"Mark"	"Int J Mol Sci"	"RNA-seq"	"Vicia sativa"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"KOBAS"	"No"	NA	"No"	"Background"	"No"	-4
"120"	"PMC6359543"	111	"Mark"	"Int J Mol Sci"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"Yes"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"No"	"Background, FDR"	"No"	-3
"121"	"PMC6359771"	112	"Mark"	"Chin Med"	"RNA-seq"	"Homo sapiens"	"Not stated"	"No"	"GSEA"	"No"	"GSEA"	"No"	NA	NA	"FDR"	"Yes"	-3
"122"	"PMC6359771"	112	"Mark"	"Chin Med"	"RNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"No"	"Background, FDR"	"Yes"	-5
"123"	"PMC6359787"	113	"Mark"	"Clin Proteomics"	"Proteomics"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"No"	"Background, FDR"	"No"	-6
"124"	"PMC6359903"	114	"Mark"	"PeerJ"	"RNA-seq"	"Mytilus sp."	"KEGG, GO"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	"No"	"No"	"Background, FDR"	"Yes"	-4
"125"	"PMC6360310"	115	"Mark"	"J Cancer"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"No"	"Background, FDR"	"No"	-5
"126"	"PMC6360311"	116	"Mark"	"J Cancer"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"No"	"Hypergeometric"	"Yes"	"Not stated"	"No"	NA	"Yes"	"No"	"Yes"	-2
"127"	"PMC6360655"	117	"Mark"	"Mol Cancer"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"Yes"	NA	NA	"No"	"No"	0
"128"	"PMC6360726"	118	"Mark"	"Biol Res"	"RNA-seq"	"Homo sapiens"	"KEGG, GO"	"No"	"Not stated"	NA	"BioCloud"	"No"	NA	"No"	"Background, FDR"	"No"	-5
"129"	"PMC6361427"	119	"Mark"	"PLoS One"	"RNA-seq"	"Brassica rapa"	"KEGG"	"No"	"Not stated"	"Yes"	"KOBAS"	"Yes"	NA	"No"	"Background"	"Yes"	-2
"130"	"PMC6361972"	120	"Mark"	"Sci Rep"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"No"	"No"	-1
"131"	"PMC6362029"	121	"Mark"	"Sci Rep"	"Gene expression array"	"Homo sapiens"	"KEGG, GO"	"Yes"	"Not stated"	"Yes"	"DAVID"	"Yes"	NA	"No"	"Background"	"No"	-2
"132"	"PMC6362246"	122	"Mark"	"Sci Rep"	"RNA-seq"	"Apostichopus japonicus"	"GO"	"No"	"No test"	"No test"	"GOATOOLS"	"Yes"	"No"	"No"	"Inference without test, Background"	"Yes"	-3
"133"	"PMC6362313"	123	"Mark"	"Mol Cell Biol"	"miRNA-seq"	"Mus musculus"	"KEGG, GO"	"No"	"Not stated"	"Yes"	"DAVID"	"Yes"	NA	"No"	"Background"	"No"	-3
"134"	"PMC6362899"	124	"Mark"	"Front Microbiol"	"Proteomics"	"Glycine max"	"KEGG, GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	"No"	"Yes"	"FDR"	"No"	-5
"136"	"PMC6363630"	126	"Mark"	"Cell Stress Chaperones"	"Gene expression array"	"Rattus norvegicus"	"KEGG, GO"	"No"	"Not stated"	"No"	"FunRich"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"138"	"PMC6364112"	128	"Mark"	"Biomed Res Int"	"RNA-seq"	"Sus scrofa"	"KEGG, GO"	"No"	"Fisher"	"Yes"	"DAVID"	"No"	NA	"No"	"Background"	"Yes"	-2
"139"	"PMC6364222"	129	"Mark"	"Exp Ther Med"	"Gene expression array"	"Homo sapiens"	"Not stated"	"No"	"Fisher"	"No"	"Custom script"	"No"	"No"	"No"	"Background, FDR"	"No"	-5
"140"	"PMC6364243"	130	"Mark"	"Exp Ther Med"	"Gene expression array"	"Mus musculus"	"KEGG, GO"	"Yes"	"Fisher"	"No"	"DAVID"	"Yes"	NA	"No"	"Background, FDR"	"No"	-2
"141"	"PMC6364329"	131	"Mark"	"Front Plant Sci"	"RNA-seq"	"Alternanthera philoxeroides"	"GO, AraCyc"	"No"	"Not stated"	"No"	"Pathway Studio"	"No"	NA	"No"	"Background, FDR"	"Yes"	-4
"144"	"PMC6364901"	134	"Mark"	"PLoS One"	"RNA-seq"	"Ocimum tenuiflorum"	"KEGG"	"No"	"Not stated"	"Yes"	"KOBAS"	"Yes"	NA	"No"	"Background"	"Yes"	-2
"145"	"PMC6365243"	135	"Mark"	"Transplantation"	"Proteomics"	"Homo sapiens"	"KEGG, STRING"	"No"	"Not stated"	"Yes"	"STRING"	"No"	NA	"No"	"Background"	"No"	-4
"146"	"PMC6365515"	136	"Mark"	"Sci Rep"	"DNA methylation sequencing"	"Bos taurus"	"Not stated"	"No"	"Not stated"	"No"	"GOseq"	"No"	"No"	"No"	"Background, FDR"	"No"	-6
"149"	"PMC6365694"	139	"Mark"	"Oncol Rep"	"Gene expression array"	"Homo sapiens"	"Not stated"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"No"	"Background, FDR"	"No"	-6
