Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
PMC6337198	40	Mark	Int J Mol Sci	Proteomics	Oryza sativa	GO, KEGG	No	Not stated	Yes	Blast2GO	No	NA	No	Background	Yes
PMC6337327	41	Mark	Int J Mol Sci	Proteomics	Homo sapiens	GO, KEGG	No	Not stated	No	Not stated	NA	NA	No	Background	No
PMC6338767	42	Mark	Sci Rep	RNA-seq	Mus musculus	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	No	No	Yes
PMC6338767	42	Mark	Sci Rep	RNA-seq	Mus musculus	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
PMC6338799	43	Mark	Sci Rep	RNA-seq	Mus musculus	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
PMC6339412	44	Mark	BMC Genomics	miRNA-seq	Saccharum officinarum 	COG, GO, KEGG	No	Not stated	Yes	Not stated	NA	NA	No	Background	No
PMC6339479	45	Mark	PeerJ	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
PMC6339791	46	Mark	Aging (Albany NY)	RNA-seq	Ailuropoda melanoleuca	GO, KEGG	No	Hypergeometric	Yes	KOBAS	No	No	Yes	No	Yes
PMC6339912	47	Mark	Front Pharmacol	RNA-seq	Rattus norvegicus	GO, KEGG	No	Not stated	No	clusterProfiler	No	No	No	Background	Yes
PMC6340995	48	Mark	Front Microbiol	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background	No
PMC6341096	49	Mark	Transl Psychiatry	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	clusterProfiler	No	Yes	No	Background	Yes
PMC6341564	50	Mark	J Transl Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	No	No	Background	Yes
PMC6341564	50	Mark	J Transl Med	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	Yes	No	NA	No	Yes
PMC6341649	51	Mark	BMC Dev Biol	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6341689	52	Mark	BMC Syst Biol	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
PMC6341696	53	Mark	BMC Plant Biol	RNA-seq	Taxus sp.	KEGG, GO	No	Not stated	No	Custom Perl script	No	No	No	Background, FDR	No
PMC6341764	54	Mark	Respir Res	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Stated, but incorrect	Background	No
PMC6342918	55	Mark	Transl Psychiatry	Gene expression array, DNA methylation array	Homo sapiens	MSigDB	Yes	Hypergeometric	Yes	GSEA web app	Yes	NA	No	Background	Yes
PMC6344412	56	Mark	Front Neurosci	Gene expression array	Homo sapiens	KEGG	No	Not stated	Yes	WebGestalt	No	NA	No	Background	Yes
PMC6344516	57	Mark	Sci Rep	Database	Homo sapiens	KEGG	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	Yes
PMC6345040	58	Mark	BMC Cancer	RNA-seq	Homo sapiens	MetaCore	Yes	Not stated	Yes	MetaCore	Yes	NA	No	Background	No
PMC6345189	59	Mark	Onco Targets Ther	Gene expression array	Homo sapiens	GO	No	Not stated	No	Metascape	No	NA	No	Background	No
PMC6345189	59	Mark	Onco Targets Ther	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
PMC6346592	60	Mark	Front Immunol	Gene expression array	Homo sapiens	GO	No	Fisher	No	GOrilla	No	NA	No	Background	No
PMC6346701	61	Mark	Front Genet	Database	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	No	No	Yes
PMC6347288	62	Mark	PLoS Comput Biol	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6347624	63	Mark	Nat Commun	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6347630	64	Mark	Cell Death Dis	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	No	Background	No
PMC6347746	65	Mark	Biomed Eng Online	Gene expression array	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	Custom script	No	No	No	No	No
PMC6348866	66	Mark	Biomed Res Int	DNA methylation sequencing	Homo sapiens	KEGG	No	Not stated	No	pathVar	No	No	No	Background	No
PMC6348995	67	Mark	Transl Vis Sci Technol	Proteomics	Homo sapiens	Reactome	No	GSEA	No	Not stated	No	No	NA	FDR	Yes
PMC6349697	68	Mark	Front Genet	RNA-seq	Homo sapiens	KEGG, GO	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	Yes
PMC6350121	69	Mark	Int J Immunopathol Pharmacol	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6350279	70	Mark	Parasit Vectors	miRNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	KOBAS	No	NA	No	Background, FDR	Yes
PMC6350310	71	Mark	Clin Proteomics	Proteomics	Homo sapiens	KEGG, GO, MSigDB, Reactome, InterPro, WikiPathways	No	Not stated	Yes	ClueGO/Cytoscape	No	NA	Yes	No	Yes
PMC6350459	72	Mark	Front Pharmacol	Proteomics	Mus musculus	MetaCore	No	Not stated	No	MetaCore	No	NA	No	Background, FDR	Yes
PMC6350566	73	Mark	Int J Endocrinol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	No	Background	Yes
PMC6350575	74	Mark	Oxid Med Cell Longev	Gene expression array	Homo sapiens	KEGG, MSigDB	No	ANOVA	No	Partek	No	NA	NA	FDR	No
PMC6350693	75	Mark	Oncoimmunology	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	No	GSEA	No	NA	NA	FDR	No
PMC6350986	76	Mark	PLoS One	DNA methylation array	Aedes aegypti	Vectorbase	No	Hypergeometric	No	Custom R script	Yes	No	Yes	FDR	Yes
PMC6351057	77	Mark	PLoS One	RNA-seq	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6351542	78	Mark	Transl Psychiatry	Proteomics	Mus musculus	MetaCore	Yes	Not stated	Yes	MetaCore	Yes	NA	No	Background	Yes
PMC6352376	79	Mark	Arthritis Res Ther	Proteomics	Mus musculus	KEGG	No	Not stated	Yes	Not stated	No	No	No	Background	Yes
PMC6352917	80	Mark	Front Immunol	Proteomics	Mus musculus	KEGG, Reactome	No	Not stated	Yes	clusterProfiler	No	No	No	Background	Yes
PMC6353904	81	Mark	Nat Commun	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6354042	82	Mark	Psychiatry Investig	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6354157	83	Mark	Evid Based Complement Alternat Med	Database	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	clusterProfiler	Yes	No	No	Background	Yes
PMC6354167	84	Mark	Biomed Res Int	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6354411	85	Mark	Int J Behav Nutr Phys Act	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6354428	86	Mark	BMC Genomics	miRNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	GOseq	No	No	No	Background, FDR	Yes
PMC6354977	87	Mark	PLoS One	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6355180	88	Mark	Oncotarget	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6355811	89	Mark	Sci Rep	RNA-seq	Homo sapiens	GO	No	Not stated	No	PANTHER	Yes	NA	No	Background, FDR	Yes
PMC6355811	89	Mark	Sci Rep	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	Yes	NA	No	Background, FDR	Yes
PMC6355989	90	Mark	mBio	RNA-seq	Sus scrofa	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6356242	91	Mark	Cancers (Basel)	Gene expression array	Homo sapiens	MSigDB	Yes	ANOVA	Yes	Partek	Yes	NA	NA	No	No
PMC6356397	92	Mark	Mar Drugs	Gene expression array	Mus musculus	MetaCore	No	Not stated	No	MetaCore	No	NA	No	Background, FDR	No
PMC6356572	93	Mark	Nutrients	RNA-seq	Mus musculus	KEGG	No	Not stated	Yes	Enrichr	No	NA	No	Background	No
PMC6356810	94	Mark	Genes (Basel)	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	KOBAS	Yes	NA	No	Background, FDR	No
PMC6356850	95	Mark	ACS Omega	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
PMC6357151	96	Mark	Toxins (Basel)	RNA-seq	Meleagris gallopavo silvestris	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6357151	96	Mark	Toxins (Basel)	RNA-seq	Meleagris gallopavo silvestris	GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	Yes
PMC6357343	97	Mark	BMC Med Genomics	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
PMC6357492	98	Mark	Stem Cell Res Ther	RNA-seq	Rattus norvegicus	KEGG, GO	No	Not stated	No	Not stated	No	NA	No	Background, FDR	No
PMC6357669	99	Mark	BMC Med Genomics	Metabolomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	No
PMC6357888	100	Mark	Onco Targets Ther	Gene expression array	Homo sapiens	KEGG, GO	No	No test	No test	DAVID	Yes	NA	No	No	Yes
PMC6358614	101	Mark	Sci Rep	RNA-seq	Homo sapiens	KEGG, GO, InterPro, BioCarta	No	Not stated	Yes	DAVID	No	NA	No	Background	No
PMC6358702	102	Mark	Proc Natl Acad Sci U S A	RNA-seq	Lymantria dispar dispar	KEGG	No	Not stated	No	Not stated	No	NA	No	Background, FDR	Yes
PMC6358845	103	Mark	Insects	Gene expression array	Aedes aegypti	KEGG, GO, InterPro	No	Hypergeometric	No	Custom R script	No	No	Yes	FDR	Yes
PMC6358847	104	Mark	Int J Mol Sci	Proteomics	Nicotiana benthamiana	Not stated	No	Not stated	No	GOEAST	No	NA	No	Background, FDR	Yes
PMC6358966	105	Mark	Int J Mol Sci	RNA-seq	Sus scrofa	KEGG	No	SPIA	Yes	SPIA	No	No	NA	No	Yes
PMC6359148	106	Mark	Medicina (Kaunas)	Gene expression array	Homo sapiens	KEGG, GO	No	Fisher	Yes	DAVID	No	NA	No	Background	No
PMC6359186	107	Mark	Int J Mol Sci	Metabolomics	Homo sapiens	Not stated	No	Fisher	Yes	Mummichog	Yes	No	Yes	No	Yes
PMC6359277	108	Mark	Int J Mol Sci	RNA-seq	Ctenopharyngodon idella	KEGG	No	Not stated	Yes	Not stated	No	No	No	Background	No
PMC6359307	109	Mark	Molecules	miRNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
PMC6359484	110	Mark	Int J Mol Sci	RNA-seq	Vicia sativa	KEGG, GO	No	Not stated	Yes	KOBAS	No	NA	No	Background	No
PMC6359543	111	Mark	Int J Mol Sci	Gene expression array	Homo sapiens	KEGG, GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
PMC6359771	112	Mark	Chin Med	RNA-seq	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	Yes
PMC6359771	112	Mark	Chin Med	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	No	Background, FDR	Yes
PMC6359787	113	Mark	Clin Proteomics	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	No	No	Background, FDR	No
PMC6359903	114	Mark	PeerJ	RNA-seq	Mytilus sp.	KEGG, GO	No	Not stated	Yes	Not stated	No	No	No	Background, FDR	Yes
PMC6360310	115	Mark	J Cancer	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
PMC6360311	116	Mark	J Cancer	Gene expression array	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	Not stated	No	NA	Yes	No	Yes
PMC6360655	117	Mark	Mol Cancer	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
PMC6360726	118	Mark	Biol Res	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	NA	BioCloud	No	NA	No	Background, FDR	No
PMC6361427	119	Mark	PLoS One	RNA-seq	Brassica rapa	KEGG	No	Not stated	Yes	KOBAS	Yes	NA	No	Background	Yes
PMC6361972	120	Mark	Sci Rep	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6362029	121	Mark	Sci Rep	Gene expression array	Homo sapiens	KEGG, GO	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	No
PMC6362246	122	Mark	Sci Rep	RNA-seq	Apostichopus japonicus	GO	No	No test	No test	GOATOOLS	Yes	No	No	Inference without test, Background	Yes
PMC6362313	123	Mark	Mol Cell Biol	miRNA-seq	Mus musculus	KEGG, GO	No	Not stated	Yes	DAVID	Yes	NA	No	Background	No
PMC6362899	124	Mark	Front Microbiol	Proteomics	Glycine max	KEGG, GO	No	Not stated	No	Not stated	No	No	Yes	FDR	No
PMC6363282	125	Mark	PLoS One	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6363630	126	Mark	Cell Stress Chaperones	Gene expression array	Rattus norvegicus	KEGG, GO	No	Not stated	No	FunRich	No	NA	No	Background, FDR	Yes
PMC6363745	127	Mark	Sci Rep	RNA-seq	Homo sapiens	KEGG, GO	Yes	Not stated	Not stated	DAVID	Yes	NA	No	Background	No
PMC6364112	128	Mark	Biomed Res Int	RNA-seq	Sus scrofa	KEGG, GO	No	Fisher	Yes	DAVID	No	NA	No	Background	Yes
PMC6364222	129	Mark	Exp Ther Med	Gene expression array	Homo sapiens	Not stated	No	Fisher	No	Custom script	No	No	No	Background, FDR	No
PMC6364243	130	Mark	Exp Ther Med	Gene expression array	Mus musculus	KEGG, GO	Yes	Fisher	No	DAVID	Yes	NA	No	Background, FDR	No
PMC6364329	131	Mark	Front Plant Sci	RNA-seq	Alternanthera philoxeroides	GO, AraCyc	No	Not stated	No	Pathway Studio	No	NA	No	Background, FDR	Yes
PMC6364390	132	Mark	Clin Proteomics	Proteomics	Homo sapiens	KEGG	No	Not stated	Not stated	Not stated	No	NA	Yes	Background, Inference without test	Yes
PMC6364453	133	Mark	Respir Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6364901	134	Mark	PLoS One	RNA-seq	Ocimum tenuiflorum	KEGG	No	Not stated	Yes	KOBAS	Yes	NA	No	Background	Yes
PMC6365243	135	Mark	Transplantation	Proteomics	Homo sapiens	KEGG, STRING	No	Not stated	Yes	STRING	No	NA	No	Background	No
PMC6365515	136	Mark	Sci Rep	DNA methylation sequencing	Bos taurus	Not stated	No	Not stated	No	GOseq	No	No	No	Background, FDR	No
PMC6365535	137	Mark	Sci Rep	RNA-seq	Danio rerio	Custom	NA	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6365689	138	Mark	Oncol Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
PMC6365694	139	Mark	Oncol Rep	Gene expression array	Homo sapiens	Not stated	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
PMC6365931	140	Mark	Oncol Lett	Database	Homo sapiens	KEGG, GO	No	Fisher	No	KOBAS	Yes	NA	No	Background, FDR	Yes
PMC6365947	141	Mark	Oncol Lett	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
PMC6365949	142	Mark	Oncol Lett	Database	Homo sapiens	GO, Reactome	No	Fisher	Yes	Not stated	No	No	No	Background	No
PMC6365951	143	Mark	Oncol Lett	Proteomics	Homo sapiens	KEGG, GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
PMC6366065	144	Mark	Arthritis Res Ther	RNA-seq	Homo sapiens	KEGG	No	ssGSEA	No	ssGSEA (GenePattern)	No	NA	NA	FDR	Yes
PMC6366111	145	Mark	Hereditas	RNA-seq	Homo sapiens	KEGG, GO	No	Hypergeometric	Yes	KOBAS	No	NA	No	Background	Yes
PMC6366115	146	Mark	BMC Genomics	RNA-seq	Gossypium hirsutum	MapMan	No	Not stated	No	SEA	No	NA	Yes	Background, FDR	Yes
PMC6366967	147	Mark	Aging (Albany NY)	miRNA-seq	Homo sapiens	KEGG, GO	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	Yes
PMC6366968	148	Mark	Aging (Albany NY)	Gene expression array	Homo sapiens	KEGG, GO	No	GSEA	Yes	GSEA	Yes	No	NA	No	No
PMC6366981	149	Mark	Aging (Albany NY)	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	Not stated	No	No	No	Background	Yes
PMC6366983	150	Mark	Aging (Albany NY)	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	No	Background	Yes
PMC6367129	151	Mark	Biosci Rep	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	Yes
PMC6367239	152	Mark	Front Neurol	RNA-seq	Homo sapiens	KEGG, GO	No	Fisher	No	AmiGO	No	NA	No	Background, FDR	No
PMC6367373	153	Mark	Sci Rep	Metabolomics	Chlorella pyrenoidosa	Not stated	No	Not stated	Not stated	MetaboAnalyst	No	NA	No	No data shown	Yes
PMC6367506	154	Mark	Sci Rep	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6367651	155	Mark	Front Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	Reactome FI/Cytoscape	No	NA	No	Background, FDR	No
PMC6367803	156	Mark	J Hematol Oncol	RNA-seq	Homo sapiens	Custom	NA	GSEA	No	GSEA	No	NA	NA	No	Yes
PMC6367816	157	Mark	BMC Cancer	miRNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	No	Background	No
PMC6367888	158	Mark	Med Sci Monit	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	GenCLiP	Yes	NA	No	Background	Yes
PMC6368378	159	Mark	PLoS One	DNA methylation array	Homo sapiens	KEGG	No	Not stated	Yes	PANOGA	No	NA	No	Background	Yes
PMC6368838	160	Mark	PeerJ	Gene expression array	Homo sapiens	Reactome, KEGG, GO	No	Not stated	No	Not stated	No	NA	No	Background, FDR	No
PMC6368841	161	Mark	PeerJ	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
PMC6368841	161	Mark	PeerJ	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	clusterProfiler	No	NA	No	Background	Yes
PMC6369179	162	Mark	Front Genet	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	clusterProfiler	No	NA	No	Background, FDR	No
